Nom;Nom alternatiu;Tipus;Continent;Unitat de relleu;País;Cimera;Regió;Altitud;Classificació per alçada;Latitud;Longitud;Descripció;Keywords;
Aneto;;pico;Europa;Pirineos;España;;Aragón;3.404 m;tres mil;42° 38' N;0° 40' E;Pico de 3.404 m de altura, el más alto de la cordillera de los Pirineos, que forma parte del macizo de la Maladeta, en el parque natural Posets-Madaleta (España). En su cara norte se encuentra el glaciares del Aneto, el más extenso de los Pirineos. Geológicamente, está formado por terrenos paleozoicos de naturaleza granítica, que han quedado cubiertos por materiales mesozoicos. Su ascensión no presenta grandes dificultades técnicas, pero requiere de conocimientos y experiencia en alta montaña. Aunque no es el pico de mayor altitud de España ni del territorio peninsular, su atractivo y su significado en la historia del montañismo le confieren un carácter especial por tratarse de la montaña más alta de la cordillera de los Pirineos. Rodeado de cuatro glaciares (Aneto, Barrancs, Coronas y Tempestades), se erige a partir de una perfecta estructura de aristas que definen su magestuosa presencia. Fue Henri Reboul quien en 1817 estableció su altitud por primera vez, y le otorgó la categoría de ser el más alto de los Pirineos. Reboul deformó el término utilizado por los lugareños, Aneto, y lo llamó Néthou, denominación que aún perdura en buena parte de la cartografía francesa. Fue, asimismo, Schrader el primero en advertir la equivocación de su colega.;Pico,altura,alto,cordillera,Pirineos,macizo,cara,glaciares,terrenos,materiales,ascensión,dificultades,experiencia,alta montaña,altitud,montañismo,aristas,primera,Schrader,primero,primero;
Annapurna;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;8.091 m;vuit mil;;;cumbres culminante del macizo del Annapurna, denominada Annapurna I, a 8.091 m de altura sobre el nivel del mar, lo que lo convierte en la décima cumbre más alta del mundo y uno de los 14 ochomiles. Es la única cumbre principal del macizo del Annapurna dentro de esta categoría. El Annapurna Central (8.051 m) y el Annapurna Este (8.010 m) son las otras dos cumbres de este macizo que superan los 8.000 m de altura, pero se trata en ambos casos de cumbres secundarias con una prominencia inferior a los 500 m.;cumbres,macizo,altura,cima,ochomiles,Annapurna Central,Annapurna Este;
Annapurna Central;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;8.051 m;vuit mil;;;Cumbre secundaria del macizo del Annapurna, en el Himalaya, que con 8.051 m de altura es el segundo picos más alto de este macizo. El macizo del Annapurna cuenta con seis picos principales: Annapurna I (8.091 m), Annapurna II (7.937 m), Annapurna III (7.555 m), Annapurna IV (7.525 m), Gangapurna (7.455 m) y Annapurna Sur (7.219 m). Al no tratarse de una cumbre principal, el Annapurna Central no se incluye dentro del listado de los 14 ochomiles del planeta.;Cumbre,macizo,Annapurna,Himalaya,altura,segundo,segundo,picos,alto,Annapurna II,Annapurna III,Gangapurna,Central,ochomiles;
Annapurna Dakshin;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;7.219 m;set mil;;;Pico de 7.219 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Annapurna Este;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;8.010 m;vuit mil;;;Cumbre secundaria del macizo del Annapurna, en el Himalaya, que con 8.010 m de altura es el segundo picos más alto de este macizo. Otras mediciones le otorgan una altitud de 8.026 o de 8.024 m sobre el nivel del mar. El macizo del Annapurna cuenta con seis picos principales: Annapurna I (8.091 m), Annapurna II (7.937 m), Annapurna III (7.555 m), Annapurna IV (7.525 m), Gangapurna (7.455 m) y Annapurna Sur (7.219 m). Al no tratarse de una cumbre principal, el Annapurna Este, junto con el Annapurna Central, no se incluye dentro del listado de los 14 ochomiles del planeta.;Cumbre,macizo,Annapurna,Himalaya,altura,segundo,segundo,picos,alto,altitud,Annapurna II,Annapurna III,Gangapurna,Annapurna Central,ochomiles;
Annapurna II;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;7.937 m;set mil;;;Pico de 7.937 m de altura sobre el nivel del mar situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Annapurna III;;pico;Asia;Himalaya;Nepal;;Macizo del Annapurna;7.555 m;set mil;;;Pico de 7.555 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Antecima Sureste Del Russell;;pico;Europa;Pirineos;España;;;3.205 m;tres mil;;;Pico de 3.205 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Antofalla;;volcán;América del Sur;Andes;Argentina;;Puna de Atacama;6.440 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Apsarasas Kangri;;pico;Asia;Karakórum;China;;Cachemira;7.245 m;set mil;;;Pico de 7.245 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Aracar;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.095 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Arenoso;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla;4.100 m;quatre mil;;;También conocido como cerro Mirador, se encuentra en el estado de Puebla (México), en la cordillera Neovolcánica..;cerro,Mirador,cordillera;
Argarot;;aguja;Europa;Pirineos;España;;;3.035 m;tres mil;;;Pico de 3.035 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Aucanquilcha;;cerro;América del Sur;Andes;Chile;;Andes bolivianos;6.176 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Audoubert;;pico;Europa;Pirineos;España;;;3.045 m;tres mil;;;Pico de 3.045 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Ausangate;;nevado;América del Sur;Andes;Perú;;Andes peruanos;6.372 m;sis mil;13° 47' 18'' S;71° 13' 40'' O;Montaña de la cordillera de Vilcanota (Andes), en Perú, con una altitud de 6.372 m sobre el nivel del mar. Está situada a unos 100 kilómetros al sudeste de la ciudad del Cusco.;Montaña,cordillera,Andes,altitud;
Azufre;;cerro;América del Sur;Andes;Chile;;Puna de Atacama;6.052 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Bada;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.195 m;quatre mil;;;Pico de 4.195 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Bahía Blanca;;cerro;América del Sur;Sistema de la Ventanía;Argentina;;Buenos Aires;739 m;menor de 1000;;;Cerro de 739 m de altura ubicado en la sierra de la Ventana, en la provincia de Buenos Aires (Argentina). Ofrece unas interesantes vistas del cordón Esmeralda, de los dos picos más altos de la zona (cerro Tres Picos y cerro de la Ventana) y de toda la región.;Cerro,altura,sierra,Ventana,Aires,cordón,altos,zona,Tres Picos,región;
Baintha Brakk;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.285 m;set mil;;;Pico de 7.285 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Bajo del Eglon;;pico;África;Plateau del centro-este de África;Uganda, Kenya;;;4.301 m;quatre mil;;;Es una de las cumbres secundarias del monte Elgón.;cumbres,monte;
Baker;;monte;África;Montañas Ruwenzori;Uganda;;;4.844 m;quatre mil;;;Recibe el nombre del explorador y naturalista británico Sir Samuel Baker, uno de los primeros europeos en explorar esta zona. En 1906, Luis Amadeo de Saboya, Duque de los Abruzos, fue el pirmero en llegar a la cumbre del monte Baker.;primeros,primeros,zona,cumbre,monte;
Balbi;;monte;Oceanía;Monte Balbi;Papúa y Nueva Guinea;;;2.715 m;dos mil;5° 55' S;154° 59' E;Punto culminante del archipiélago de las islas Salomón, en la isla de Bougainville, la mayor de las islas del archipiélago de las islas Salomón, que pertenece al estado de Papúa Nueva Guinea.;lago;
Baltistan Peak;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.282 m;set mil;;;Pico de 7.282 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Baltoro Kangri;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.312 m;set mil;;;Pico de 7.312 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Bañuela;;pico;Europa;Sierra Morena;España;;;1.323 m;mil;;;Pico de 1.323 m de altura sobre el nivel del mar, situado en Sierra Madrona, en Sierra Morena.;Pico,altura,Sierra Morena;
Barrancas Blancas;;cerro;América del Sur;Andes;Chile;;Puna de Atacama;6.119 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Barva;Las Tres Marías;volcán;América Central;Andes;Costa Rica;;;2.906 m;dos mil;;;Con 2.906 m de altura sobre el nivel del mar, el volcán Barva se encuentra entre las altas cimas de la Cordillera Volcánica Central de Costa Rica, junto al Irazú, al este y el Poás, al oeste. Conocido también como cerro Las Tres Marías, es la culminación de una amplia pared del norte del Valle Central en la cual se encuentran numerosos pueblos e infinidad de fincas, en un paisaje siempre verde, salpicado de pinos, cipreses y gran variedad de árboles que, como selva de primer crecimiento, coronan el cerro volcánico. La selva tupida cubre los alrededores del cráter apagado del Barva.;altura,volcán,cimas,Cordillera Volcánica Central,Poás,cerro,pared,Valle,paisaje,selva;
Batián;;pico;África;Monte Kenya;Kenya;;Tierras Altas Orientales;5.199 m;cinc mil;0° 9' S;37° 19' E;Cumbre principal del macizo del monte Kenya, de 5.199 m de altura, el segundo punto más alto del continente africano y el más alto de Kenya. La ascensión a la cumbre principal del monte Kenya se puede realizar por todas las vertientes del macizo con dificultades que van desde IV hasta VII, y que requieren amplios conocimientos y experiencia alpinística. En algunas de sus vías se combina la escalada en hielo con la escalada en roca.;Cumbre,macizo,monte,altura,segundo,segundo,alto,continente,ascensión,vertientes,dificultades,experiencia,alpinística,vías,escalada,hielo,escalada en roca;
Batu;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.400 m;quatre mil;;;Pico de 4.400 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Batura Sar;;pico;Asia;Karakórum;Pakistán;;;7.795 m;set mil;;;Pico de 7.795 m de altura sobre el nivel del mar situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Bell;;monte;Antártida;Montes Transantárticos;Antártida;;;4.303 m;quatre mil;;;Montaña situada en los montes Trasantárticos (Antártida).;Montaña,montes;
Bellevue de l'Inini;;pico;América del Sur;Tierras Altas de la Guayana;Guayana Francesa;;Saint-Laurent-du-Maroni;851 m;menor de 1000;3° 32' 26'' N;53° 34' 24'' O;Punto más alto de la Guayana Francesa, en Saint-Laurent-du-Maroni, con 851 m de altura sobre el nivel del mar.;alto,altura;
Belloc;;pico;Europa;Pirineos;España;;;3.008 m;tres mil;;;Pico de 3.008 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Belloc Central;;punta;Europa;Pirineos;España;;;3.006 m;tres mil;;;Pico de 3.006 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Belloc Sur;;punta;Europa;Pirineos;España;;;3.007 m;tres mil;;;Pico de 3.007 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Benito Juárez;;cerro;América del Norte;Yucatán;México;;Yucatán;210 m;menor de 1000;;;Montaña más alta del estado de Yucatán (México).;Montaña;
Beraldi;;pico;Europa;Pirineos;España;;;3.025 m;tres mil;;;Pico de 3.025 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Besiberri del Mig Norte;;pico;Europa;Pirineos;España;;;3.002 m;tres mil;;;Pico de 3.002 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Besiberri del Mig Sur;;pico;Europa;Pirineos;España;;;3.003 m;tres mil;;;Pico de 3.003 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Besiberri Norte;;pico;Europa;Pirineos;España;;Aragón;3.014 m;tres mil;;;Pico de 3.014 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Besiberri Sur;;pico;Europa;Pirineos;España;;;3.030 m;tres mil;;;Pico de 3.030 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Birhan;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.100 m;quatre mil;;;Pico de 4.100 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Blue Hills;;elevación;América Central;Providenciales;Turks y Caicos;;Islas Caicos;59 m;menor de 1000;21° 48' N;72° 17' O;Constituye la máxima elevación del terreno en un relieve prácticamente llano. Las islas Turks y Caicos, situadas al sureste de las Bahamas, están formadas por un archipiélago de más de 30 islas, de las que sólo ocho están habitadas: Grand Turk, Salt Cay, Pine Cay, Parrot Cay, Providenciales y las islas Caicos del Norte, del Medio y del Sur. Presentan un clima cálido, con precipitaciones entre 500 y 1.000 mm. Sus principales recursos son la pesca (langostas y marisco), el turismo y los servicios financieros. Se trata de un territorio llano de origen coralino que se edifica sobre un volcán sumergido. Se encuentran en el borde de las placas del Caribe y norteamericana. El clima de las islas es tropical, normalmente seco y soleado aunque monzónico e influido por los vientos alisios en el litoral, que debido a la escasa altitud del territorio, atenúan el efecto monzónico y disminuyen considerablemente las precipitaciones. Los huracanes que se generan en el Atlántico suelen ser habituales.;elevación,terreno,relieve,llano,llano,lago,ocho,del Medio,clima,volcán,placas,vientos,altitud;
Bolívar de Venezuela;;pico;América del Sur;Andes;Venezuela;;Cordillera de Mérida;4.978 m;quatre mil;08º 33' N;71º 03' O;picos de 4.978 m de altura sobre el nivel del mar, en Sierra Nevada dentro del parque nacional homónimo en la cordillera de Mérida (Andes), estado de Mérida, que representa la mayor altura de este estado y de toda Venezuela y una de sus cumbres más emblemáticas. Junto con los picos Humboldt y Bonpland constituye los principales picos de la cordillera de Los Andes venezolanos.Originalmente, el macizo al que pertenece el pico Bolívar era conocido como pico La Columna, hasta que en un artículo de El Universal de 1925 el Dr. Miguel Febres Cordero y Juan Rodríguez Suárez propusieran por primera vez honrar a El Libertador Simón Bolívar bautizando el punto más alto de Venezuela con su nombre. Hubo que esperar hasta la década de 1950 para ver recogida el nuevo nombre en los mapas físicos. No obstante, se sigue llamando La Columna al macizo que conforman los picos Abanico, Jahn, León Toro y Bolívar, entre otros. Otras denominaciones del pico Bolívar a lo largo de su historia son las de Concha y Peineta.La mejor época estival para su ascensión va de diciembre a marzo, mientras que para afrontar una invernal conviene hacerlo entre los meses de abril a noviembre.La formación del pico Bolívar, tal y como sucede con la cordillera de Mérida, tuvo lugar debido al proceso iniciado por el choque de la placa continental de Sudamérica y la placa del Caribe.;picos,altura,Sierra,Nevada,cordillera,Andes,cumbres,Humboldt,Bonpland,macizo,primera,alto,Abanico,largo,ascensión,invernal,placa;
Bonete;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.759 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Bonpland;;pico;América del Sur;Andes;Venezuela;;Cordillera de Mérida;4.880 m;quatre mil;;;picos de 4.480 m de altura sobre el nivel del mar, en la cordillera de Mérida (Andes), junto al pico Humboldt. Es una de las cumbres de mayor altura de Venezuela y, como muchos de los picos de la región, ha perdido gran parte de sus glaciares en los últimos años. Ofrece unas atractivas vistas desde su cumbre y su ascensión es relativamente fácil.;picos,altura,cordillera,Andes,Humboldt,cumbres,región,glaciares,ascensión,fácil;
Brekruna;;monte;América del Norte;Cordillera Watkins;Groenlandia;;;2.824 m;dos mil;;;Elevación de la cordillera Watkins, en la costa este de Groenlandia, con 2.824 m de altura sobre el nivel del mar. En abril de 2.005 un equipo de Greenland Adventure compuesto por los guías Ricardo López Valverde, John Gardner, Isaías Galarza, Aarne Davioff y Mónica Olarza ascendieron hasta la cumbre del monte Brekruna.;Elevación,cordillera,altura,equipo,Gardner,cumbre,monte;
Britton;;monte;América Central;Cordillera Central;Puerto Rico;;Río Grande (Mameyes);941 m;menor de 1000;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Río Grande (Mameyes).;Cumbre,Cordillera,Central,Río,Grande;
Broad Peak;;pico;Asia;Karakórum;Pakistán;;;8.047 m;vuit mil;;;Montaña del Karakórum, en la frontera entre China y Pakistán, aproximadamente a 8 km del K2, de 8.047 m de altura. Es la duodécima montaña más alta de la Tierra (uno de los 14 ochomiles) y la cuarta más alta de Pakistán. El Broad Peak fue designada por T.G. Montgomery inicialmente como K3 (tercer pico del Karakórum) en 1856. En la región se le conoce con el nombre de Faichan Kangri. La traducción literal de Broad Peak como Phalchan Kangri no es aceptada entre los balti.;Karakórum,frontera,K2,altura,cima,Tierra,ochomiles,pico,región;
Broad Peak Central;;pico;Asia;Karakórum;Pakistán;;;8.016 m;vuit mil;;;Cumbre secundaria del Broad Peak, de 8.016 m de altura sobre el nivel del mar. Al no tratarse de una cumbre principal (con una prominencia de 500 m o más), no se considera como uno de los 14 ochomiles.;Cumbre,Broad Peak,altura,ochomiles;
Brulle;;pico;Europa;Pirineos;España;;;3.106 m;tres mil;;;Pico de 3.106 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Caballito;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla, Veracruz;3.800 m;tres mil;;;Montaña situada entre los estados de Puebla y Veracruz (México), en la cordillera Neovolcánica.;Montaña,cordillera;
Cabeza de Hierro Mayor;;pico;Europa;Sistema Central;España;;;2.381 m;dos mil;;;Pico de 2.381 m de altura sobre el nivel del mar, situado en la sierra de Guadarrama, en el Sistema Central.;Pico,altura,sierra,Sistema Central;
Cabeza de la Yegua;;pico;Europa;Montes de León;España;;Castilla y León;2.135 m;dos mil;;;Pico de 2.135 m de altura sobre el nivel del mar, situado en los Montes de León.;Pico,altura,Montes;
Cabeza de Manzaneda;;pico;Europa;Macizo Galaico;España;;Galicia;1.778 m;mil;;;Pico de 1.778 m de altura sobre el nivel del mar, el más alto del Macizo Galaico y de la región de Galicia (España).;Pico,altura,alto,Macizo,región;
Cachi;;nevado;América del Sur;Andes;Argentina;;Puna de Atacama;6.380 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Cadier;;aguja;Europa;Pirineos;España;;;3.022 m;tres mil;;;Pico de 3.022 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Calar Alto;;pico;Europa;Cordillera Penibética;España;;;2.168 m;dos mil;;;Pico de 2.168 m de altura sobre el nivel del mar, punto más alto de la Sierra de Filabres, en la Cordillera Penibética.;Pico,altura,alto,Sierra,Cordillera;
Calar de Santa Bárbara;;pico;Europa;Cordillera Penibética;España;;;2.269 m;dos mil;;;Pico de 3.266 m de altura sobre el nivel del mar, punto más alto de la Sierra de Baza, en la Cordillera Penibética.;Pico,altura,alto,Sierra,Cordillera;
Callangate;;cerro;América del Sur;Andes;Perú;;Andes peruanos;6.110 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Calvitero;;pico;Europa;Sistema Central;España;;;2.425 m;dos mil;;;Pico de 2.425 m de altura sobre el nivel del mar, situado en la sierra de Gredos, en el Sistema Central.;Pico,altura,sierra,Sistema Central;
Camboué;;pico;Europa;Pirineos;España;;;3.043 m;tres mil;;;Pico de 3.043 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Candelaria;;cerro;América del Sur;Andes;Bolivia;;;6.000 m;sis mil;;;Montaña de la cordillera de los Andes, en el departamento de Oruro (Bolivia).;Montaña,cordillera,Andes;
Cap Dera Baquo Occidental;;pico;Europa;Pirineos;España;;;3.097 m;tres mil;;;Pico de 3.097 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Cap Dera Baquo Oriental;;pico;Europa;Pirineos;España;;;3.103 m;tres mil;;;Pico de 3.103 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Caracol;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla;3.710 m;tres mil;;;Montaña situada en el estado de Puebla (México).;Montaña;
Caraz;;cerro;América del Sur;Andes;Perú;;Andes peruanos;6.025 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
